year,month,total_sales
2013,1,454904.0
2013,2,459417.0
2013,3,617382.0
2013,4,682274.0
2013,5,763242.0
2013,6,795597.0
2013,7,855922.0
2013,8,766761.0
2013,9,689907.0
2013,10,656587.0
2013,11,692643.0
2013,12,506607.0
2014,1,525987.0
2014,2,529117.0
2014,3,704301.0
2014,4,788914.0
2014,5,882877.0
2014,6,906842.0
2014,7,989010.0
2014,8,885596.0
2014,9,785124.0
2014,10,758883.0
2014,11,800783.0
2014,12,578048.0
2015,1,552513.0
2015,2,551317.0
2015,3,730951.0
2015,4,824467.0
2015,5,926902.0
2015,6,937184.0
2015,7,1037350.0
2015,8,920401.0
2015,9,823332.0
2015,10,797253.0
2015,11,827645.0
2015,12,607572.0
2016,1,602439.0
2016,2,614957.0
2016,3,790881.0
2016,4,901950.0
2016,5,988730.0
2016,6,1022664.0
2016,7,1138718.0
2016,8,981494.0
2016,9,896831.0
2016,10,863637.0
2016,11,891448.0
2016,12,663411.0
2017,1,617306.0
2017,2,621369.0
2017,3,822667.0
2017,4,938862.0
2017,5,1020686.0
2017,6,1064624.0
2017,7,1171393.0
2017,8,1026403.0
2017,9,935263.0
2017,10,891160.0
2017,11,928837.0
2017,12,695170.0
